id,orig_correct,para_correct,idiom_correct,x,gold_answer
f9bbe4e547c886d5,True,True,True,", i 'd want something a bit more complex than we were soldiers to be remembered by .",
b02e567b7e749a7c,True,True,True,make you feel guilty about ignoring what the filmmakers clearly believe,
eda54bd6e43afcc7,True,True,True,"sadly , as blood work proves , that was a long , long time ago .",
f0a01a933cc045b9,True,True,True,", it 's an observant , unfussily poetic meditation about identity and alienation .",
db32f3e6522e9f9e,True,True,True,reminds me of a vastly improved germanic version of my big fat greek wedding,
fef75f210756eb24,True,True,True,those 24-and-unders looking for their own caddyshack to adopt as a generational signpost may have to keep on looking .,
cfaa8ddc4181d5d7,True,True,True,long gone bottom-of-the-bill fare like the ghost and mr. chicken,
6c923d9d8274cce4,True,True,True,"a clash between the artificial structure of the story and the more contemporary , naturalistic tone of the film ...",
53cfdd920a402ea1,True,True,True,"max pokes , provokes , takes expressionistic license and hits a nerve",
8f69e88db10c5a49,True,True,True,some of the dramatic conviction that underlies the best of comedies,
e8a383f08106f93a,True,True,True,"my friend david cross would call it , ` hungry-man portions of bad '",
83ef8d0cc4156b5e,False,True,True,"less dizzying than just dizzy , the jaunt is practically over before it begins .",
13ab39bb8632ef84,True,True,True,this is a shrewd and effective film from a director who understands how to create and sustain a mood .,
442f6160e55e39f8,True,True,True,"light-years ahead of paint-by-number american blockbusters like pearl harbor , at least artistically .",
5763343326e0d70e,True,True,True,"the jabs it employs are short , carefully placed and dead-center .",
8d50d226ecf5d006,True,True,True,"the lustrous polished visuals rich in color and creativity and , of course , special effect",
c5c1a1aa102cd0b6,True,True,True,"with an underlying seriousness that sneaks up on the viewer , providing an experience that is richer than anticipated",
61a096f1dc875791,True,False,False,offer some modest amusements when one has nothing else to watch,
b14132771c21cad5,False,False,False,too long to turn his movie in an unexpected direction,
fe213bc0cd59998c,True,True,True,is a case of too many chefs fussing over too weak a recipe,
9a54a78e6dc3b927,True,True,True,the plot remains as guarded as a virgin with a chastity belt,
077e7c7632d2dbbd,False,False,False,"has produced in recent memory , even if it 's far tamer than advertised .",
e453b263afe1643e,True,True,True,"a low-key , organic way that encourages you to accept it as life and go with its flow",
d098790c9f123da1,True,True,True,"i ca n't begin to tell you how tedious , how resolutely unamusing , how thoroughly unrewarding all of this is , and what a reckless squandering of four fine acting talents ...",
b445d7c8d1c96ffe,True,True,True,"it 's sanctimonious , self-righteous and so eager to earn our love that you want to slap it",
d73b325bc5c17e25,True,True,True,"one of those pictures whose promising , if rather precious , premise is undercut by amateurish execution .",
9c3f86a8eeac72de,True,True,True,you try to guess the order in which the kids in the house will be gored .,
408240ed8545d525,True,True,True,documentary to make the stones weep -- as shameful as it,
f4d51221236d1f29,True,True,True,"`` bad '' is the operative word for `` bad company , '' and i do n't mean that in a good way",
d1926ca50f7a4290,True,True,True,"do n't really seem all that profound , at least by way of what can be gleaned from this three-hour endurance test built around an hour 's worth of actual material .",
3477f981e009b7e1,True,True,True,should be expected from any movie with a `` 2 '' at the end of its title .,
d4927ba381a77420,True,True,True,it 's not a motion picture ; it 's an utterly static picture,
57f65a0e706d7385,True,True,True,"not all of the stories work and the ones that do are thin and scattered ,",
af917bf40e9fb892,True,True,False,you wish you were at home watching that movie instead of in the theater watching this one,
c91089b63ab04e1c,True,True,True,lifts blue crush into one of the summer 's most pleasurable movies,
b626943aefd7cc8d,True,False,True,is n't embarrassed to make you reach for the tissues,
03af4bb1ec87eef0,True,True,True,this movie seems to have been written using mad-libs .,
368d530668b9d74c,False,False,False,"a film really has to be exceptional to justify a three hour running time , and",
ecac461aecaeea5f,True,True,True,adds up to big box office bucks all but guaranteed,
6aa9b92bed8e6cb6,True,True,True,she lacks the skill or presence to regain any ground,
23a8284b0b790fde,True,True,True,provides an accessible introduction as well as some intelligent observations on the success of bollywood in the western world,
9d6f19c996ccf898,True,True,True,"it has fun with the quirks of family life , but it also treats the subject with fondness and respect .",
bbfd0d5ce95058e8,True,True,True,"the setting in an attempt to make the film relevant today , without fully understanding what it was that made the story relevant in the first place",
6a41670c8dbc8739,True,True,True,has more than a few moments that are insightful enough to be fondly remembered in the endlessly challenging maze of moviegoing,
148b6b226d3c0c70,False,False,True,"alternately hilarious and sad , aggravating and soulful , scathing and joyous .",
6667814970ae2f91,True,True,True,robert harmon 's less-is-more approach delivers real bump-in - the-night chills -- his greatest triumph is keeping the creepy crawlies hidden in the film 's thick shadows,
29986d3d18a8685e,False,True,False,"like showgirls and glitter , the most entertaining moments here are unintentional .",
3a83f473738491c2,True,True,True,three sides of his story with a sensitivity and an inquisitiveness reminiscent of truffaut,
