id,orig_correct,para_correct,idiom_correct,x,gold_answer
nutrition/1019,False,False,False,Which of the following statements about plasma lipoproteins is correct?,They have a hydrophobic core of triacylglycerol and cholesterol esters
international_law/697,True,False,True,Which treaties are considered as 'source of international law' under article 38 ICJ Statute?,Only the treaties that are in force and binding upon the parties to the dispute
management/748,False,False,False,Simon (1960) is associated with what type of decision making model?,Administrative
high_school_biology/308,True,True,True,This biome is the driest of the land biomes and experiences the greatest daily temperature fluctuations.,Desert
professional_psychology/1404,False,False,False,The Ego Autonomous Functions have adaptive functions. The following statements relate to them. In which of the following situations is The Ego Autonomous Function defined incorrectly:,The Ego Autonomous Function is involved in resolution of conflict
international_law/705,True,True,True,What is required for a general rule of customary law to be formed?,Both the elements of widespread and consistent State practice and of the opinio juris are required
high_school_biology/320,False,False,False,Which of the following tends to be highest on the trophic pyramid?,Primary carnivores
high_school_biology/298,False,False,False,"Metafemale syndrome, a disorder in which a female has an extra X chromosome, is the result of nondisjunction. The failure in oogenesis that could produce this would occur in",anaphase II
nutrition/1027,True,True,True,What is the immediate source of chemical energy that can be used by skeletal muscle tissue to allow muscle contraction?,ATP
world_religions/1520,False,False,False,The Great Cloud Sutra prophesied the imminent arrival of which person?,Maitreya (Milo)
management/758,True,True,True,Which of the following motivators is the most basic need in Maslow's hierarchy?,Physiological
nutrition/1040,True,True,True,Malnutrition in older adults is associated with which of the following?,An increased mortality and morbidity
professional_law/1170,True,True,True,"Under the Federal Rules of Evidence, which of the following items of evidence is NOT self- authenticating?",A holographic will without attesting signatures that a plaintiff claims was written by her mother in her own handwriting.
clinical_knowledge/68,True,True,True,Which of the following is true about radial nerve palsy?,It leads to wrist drop
elementary_mathematics/263,False,False,False,All the students in the sixth grade either purchased their lunch or brought their lunch from home on Monday. 24% of the students purchased their lunch. 190 students brought their lunch from home. How many students are in the sixth grade?,250
high_school_psychology/570,True,False,False,Which psychoactive drugs are most frequently prescribed to relieve pain?,narcotics
high_school_psychology/562,True,True,True,"A research participant eats half a bowl of M&M candies, and then stops eating. How would a motivation researcher using drive reduction theory explain this participant's behavior?","The primary drive of hunger motivated the person to eat, and then stop when she/he regained homeostasis."
elementary_mathematics/228,False,False,False,Wendy wants to take a survey to determine which flavor of ice cream is the most popular at her school. Which of the following methods is the best way for her to choose a random sample of the students at her school?,selecting ten students from each homeroom
high_school_statistics/594,True,True,True,"A skeptic decides to conduct an experiment in ESP in which a blindfolded subject calls out the color of a card dealt from a regular deck of cards (half the cards are red; the other half, black). One hundred cards are dealt from a well-shuffled pack, with each card being replaced after a deal. Using a 5 percent level of significance, what is the lowest number of cards that the subject needs to call out correctly in order to show that he is doing better than he would if he were simply guessing?",59
high_school_biology/311,False,False,False,Which of the following statements describes the structural level of a protein that is least affected by hydrogen bonding?,Primary structure depends on the sequence of amino acids.
international_law/701,True,True,True,In the Grootboom case in South Africa the Supreme Court,Found that the state had to take reasonable steps to fulfil its obligation to the appellants under the right to housing in the Constitution
high_school_biology/321,True,True,True,Which of the following changes in a gamete is most likely to lead to a heritable change in a protein?,Inserting two nucleotides in the genome at the beginning of a codon
miscellaneous/835,True,True,True,The boy is very quiet. The sentence above is an example of which of the following?,Simple sentence
high_school_psychology/557,False,False,False,"Lisa, determined to get away from her abusive father, leaves home and moves in with an abusive boyfriend. Lisa's choice of an abusive boyfriend is most relevant to Sigmund Freud's theory of",psychodynamic conflict
miscellaneous/820,True,True,False,"Polarized sunglasses are used to cut glare from sunlight reflected at a glancing angle off cars, water, and other surfaces. Such sunglasses are a practical application of which of the following physical principles?",Brewster's law
moral_scenarios/933,False,False,False,"For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of 2020? Scenario 1 | I feel so full of laughter when I pass by a car accident. Scenario 2 | I took the child to the mall and then forgot where in the mall the store is located.","Wrong, Not wrong"
conceptual_physics/182,True,True,True,Planck’s constant can be found by dividing the energy of a photon by its,frequency
high_school_psychology/572,True,True,True,A researcher has asked participants to complete a questionnaire that will assess how frequently in their lives they experience various emotions using a scale from 1 (never) to 5 (very often). The researcher is particularly interested in the relationship between feelings of guilt and other emotions. This researcher is most likely conducting which of the following types of research?,Correlational
professional_psychology/1388,True,True,True,Research on the effectiveness of grouping children in separate classes according to their academic performance suggests chat,homogeneous class grouping produces a negative effect on achievement and self-esteem for low achieving children
moral_scenarios/984,False,False,False,"For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of 2020? Scenario 1 | I bought some beer from the liquor store because I am 24. Scenario 2 | I helped him in academics by studying for his standardized examination.","Not wrong, Not wrong"
professional_psychology/1392,True,True,True,The seat of higher cortical functioning is typically associated with the ___________.,Frontal lobe
high_school_macroeconomics/425,True,True,True,"According to the way in which economists use the word the bulk of ""investment"" is done by",businesses.
moral_scenarios/979,False,False,False,"For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of 2020? Scenario 1 | When I accidentally walked in on my roommate making love to a girl, I declined to watch. Scenario 2 | I was going to puke, so I leaned closer to my mother-in-law.","Not wrong, Wrong"
