id,orig_correct,para_correct,idiom_correct,x,gold_answer
93632c,True,False,False,Make-believe roles are not equally pleasurable'a feature of cooperation that is as true in everyday life as it is in fantasy play.,
22593c,False,True,False,One wonders whether the marriage had secretly taken place between the consecutive chapters!,
77820n,True,True,True,"They grew up in Lewisburg, NC, which is a little small town it's east of Raleigh.",
51847e,True,True,True,This usage points to yadda yadda yadda 's larger social It suggests that an ever-larger percentage of the content of everyday communication can be correctly anticipated--probably owing in part to the sheer repetition of words and arguments in the various public media.,
116377c,False,True,False,"China could never trump the warhead blizzard Washington would send in retaliation against any atomic attack, though the country would be loath to cede to U.S. missile defenses the deterrence afforded by its handfuls of warheads.",
75197e,True,True,True,"I shamelessly and freely borrowed the concept, making adaptations to fit our needs and used it as a direct mail appeal last fall...samples enclosed.",
125594n,False,False,False,Another White House murder mystery and a chance to bash the genre.,
18301n,True,False,False,Bin Ladin agreed to help Turabi in an ongoing war against African Christian separatists in southern Sudan and also to do some road building.,
145258e,True,True,True,"These processes are often reinforced with such comments from parents and teachers as, You'll never get anywhere nowadays without a college education.",
114745e,True,True,True,"As a result, 60 percent of our budget comes from United Way of Central Indiana, 10 percent from schools, and the remaining 30 percent from the generosity of business, our own fundraising activities and individual gifts.",
10974n,False,True,True,Any subsequent alterations to the data can be readily detected.,
107078e,True,True,True,I watched her hips shift in and out of the sides of her wrap.,
24091n,True,True,True,i guess it's just you know and when i think about that lady this this particular lady who wrote me a check for twelve dollars and it bounced and i sent it through you know sent it through the check through the bank once and she incurred at least a fifteen dollar fee,
3755n,True,True,True,"According to Miyares' wife, JoAnn, the decision changed his life.",
96733n,False,False,False,"For Johnson's Frenchie this becomes, Bid him go to hell, to hell he goes.",
51036e,True,True,False,"Similarly, OIM revised the electronic Grant Renewal Application to accommodate new information sought by LSC and to ensure greater ease for users.",
41052c,True,True,True,"HCFA published a Notice of Proposed Rulemaking on March 28, 1997 (62 Fed.",
39146e,True,True,True,"I am happy, by the way, that Abate did not say that studying Latin helps you to think clearly'an erroneous notion still often heard.",
122971e,True,False,False,"Consider Dickens' sharp image in Bleak House (Chapter LIV) when he describes how Sir Leicester leans back in his chair, and breathlessly ejaculates.",
17264n,True,True,True,"So after two or three days he called Callgrove and said, Don't bother coming in I found a guy better than you.",
28909n,True,True,True,I wanted to briefly share with you some of the specific uses of the funds that are donated each year.,
107577e,True,True,True,"The arches that flank the nave are filled with tiers of columns and the walls with windows, while the arches above the entrance and the apse are backed by semi-domes, further increasing the interior space.",
144272e,True,True,True,Workers are also represented in civil rights and retaliation claims.,
65388e,True,True,True,"At 9:24, Ballinger's warning to United 93 was received in the cockpit.",
97019c,True,True,True,"But what about a reference by MacNeil's partner, Jim Lehrer, to some ten thousand black gold and diamond miners [on strike in South Africa].",
131084n,True,True,True,Grantees statistically sample the cases closed in the previous year to determine if the sampled cases generally meet the requirements for reporting cases to LSC.,
